wavelength	intensity	cleaned_intensity
397.242	5808.0	5808.0
397.28	5894.0	5894.0
397.318	5880.0	5880.0
397.357	5778.0	5778.0
397.395	5810.0	5810.0
397.434	5968.0	5968.0
397.472	5843.0	5843.0
397.51	5841.0	5841.0
397.549	5932.0	5932.0
397.587	5906.0	5906.0
397.625	5957.0	5957.0
397.664	6019.0	6019.0
397.702	6080.0	6080.0
397.741	6133.0	6133.0
397.779	6009.0	6009.0
397.817	6172.0	6172.0
397.856	6230.0	6230.0
397.894	6295.0	6295.0
397.932	6336.0	6336.0
397.971	6476.0	6476.0
398.009	6419.0	6419.0
398.047	6661.0	6661.0
398.086	6726.0	6726.0
398.124	6752.0	6752.0
398.162	6714.0	6714.0
398.201	6924.0	6924.0
398.239	6881.0	6881.0
398.277	6922.0	6922.0
398.316	6888.0	6888.0
398.354	6902.0	6902.0
398.392	6848.0	6848.0
398.431	6879.0	6879.0
398.469	6920.0	6920.0
398.507	6818.0	6818.0
398.545	6855.0	6855.0
398.584	6822.0	6822.0
398.622	6993.0	6993.0
398.66	6990.0	6990.0
398.699	7025.0	7025.0
398.737	6960.0	6960.0
398.775	7120.0	7120.0
398.814	7016.0	7016.0
398.852	7113.0	7113.0
398.89	7150.0	7150.0
398.928	7147.0	7147.0
398.967	7197.0	7197.0
399.005	7287.0	7287.0
399.043	7327.0	7327.0
399.081	7397.0	7397.0
399.12	7584.0	7584.0
399.158	7552.0	7552.0
399.196	7623.0	7623.0
399.235	7878.0	7878.0
399.273	7751.0	7751.0
399.311	8008.0	8008.0
399.349	7915.0	7915.0
399.388	7884.0	7884.0
399.426	7981.0	7981.0
399.464	7919.0	7919.0
399.502	7914.0	7914.0
399.541	7910.0	7910.0
399.579	7986.0	7986.0
399.617	7970.0	7970.0
399.655	7827.0	7827.0
399.693	7905.0	7905.0
399.732	7926.0	7926.0
399.77	7991.0	7991.0
399.808	7934.0	7934.0
399.846	7974.0	7974.0
399.885	7766.0	7766.0
399.923	7901.0	7901.0
399.961	8033.0	8033.0
399.999	8088.0	8088.0
400.037	7985.0	7985.0
400.076	8039.0	8039.0
400.114	8162.0	8162.0
400.152	8079.0	8079.0
400.19	8086.0	8086.0
400.228	8071.0	8071.0
400.267	8143.0	8143.0
400.305	8124.0	8124.0
400.343	8340.0	8340.0
400.381	8142.0	8142.0
400.419	8434.0	8434.0
400.458	8302.0	8302.0
400.496	8352.0	8352.0
400.534	8328.0	8328.0
400.572	8344.0	8344.0
400.61	8364.0	8364.0
400.648	8667.0	8667.0
400.687	8643.0	8643.0
400.725	8501.0	8501.0
400.763	8515.0	8515.0
400.801	8744.0	8744.0
400.839	8753.0	8753.0
400.877	8829.0	8829.0
400.915	8923.0	8923.0
400.954	9090.0	9090.0
400.992	9316.0	9316.0
401.03	9546.0	9546.0
401.068	9621.0	9621.0
401.106	9827.0	9827.0
401.144	10152.0	10152.0
401.182	10283.0	10283.0
401.221	10294.0	10294.0
401.259	10601.0	10601.0
401.297	10641.0	10641.0
401.335	10759.0	10759.0
401.373	10629.0	10629.0
401.411	10893.0	10893.0
401.449	10723.0	10723.0
401.487	10763.0	10763.0
401.525	10736.0	10736.0
401.564	10416.0	10416.0
401.602	10509.0	10509.0
401.64	10454.0	10454.0
401.678	10151.0	10151.0
401.716	10140.0	10140.0
401.754	10052.0	10052.0
401.792	9952.0	9952.0
401.83	9844.0	9844.0
